Title;Count
Ferien auf Saltkrokan;2
Fiasko;2
Fight Club;2
Fliegender Stern;2
Foucault's Pendulum;2
Free Software Free Society;2
Gaudy Night;2
Gender Trouble;2
Gepäckschein 666;2
Gevatter Tod;2
Gravity's Rainbow;2
Grimms Märchen;2
Ham on Rye;2
Hamlet;2
Helen Keller;2
Hiroshima;2
Holy Bible;2
Hundert Jahre Einsamkeit;2
Hunger;2
I Robot;2
If on a Winter's Night a Traveler;2
Illusions: The Adventures of a Reluctant Messiah;2
Into Thin Air;2
Jacques der Fatalist und sein Herr;2
Jane Eyre;2
Jonathan Strange & Mr Norrell;2
Joseph and His Brothers;2
Jurassic Park;2
Just So Stories;2
Kafka am Strand;2
Kappa;2
La Sombra del Viento;2
Legends & Lattes;2
Living My Life;2
LTI;2
Mamie 1780-1794;2
Mastering Regular Expressions;2
Maxim Gorki;2
Mein erstes Technikbuch;2
Mein Urgroßvater und ich;2
Men at Arms;2
Microserfs;2
Moby Dick;2
Mond Mond Mond;2
No Logo;2
Notes from a Small Island;2
Oh  wie schön ist Panama;2
On the Road;2
On Writing;2
Perdido Street Station;2
Planet der Habenichtse;2
Players Handbook;2
Regenroman;2
REWORK;2
Richard's Bicycle Book;2
Roadside Picnic;2
Ruostumaton Teräsrotta;2
Sämtliche Werke;2
Sand Talk;2
Serafin und seine Wundermaschine;2
Sheila;2
Shel Silverstein;2
Shikasta;2
Silent Spring;2
Slaughterhouse-Five;2
Sofies Welt;2
Station Eleven;2
Steps to an Ecology of Mind;2
Sterntagebücher;2
Stolz und Vorurteil;2
Stranger in a Strange Land;2
Sturm im Mumintal;2
Summa technologiae;2
The Adventures of Sherlock Holmes;2
The Annotated Alice;2
The Autobiography of Malcolm X;2
The Book of Disquiet;2
The City We Became;2
The Complete Book of Self-Sufficiency;2
The Complete Calvin and Hobbes;2
The Crow Road;2
The Dice Man;2
The Electric Kool-Aid Acid Test;2
The Elements of Style;2
The Essential Calvin and Hobbes;2
The Eye of the World;2
The Eyre Affair;2
The Fifth Season;2
The Gift of Fear;2
The Hobbit or There and Back Again;2
