Author;Count
Arkady & Boris Strugatsky;2
Arno Schmidt;2
Arthur Conan Doyle;2
B. Traven;2
Barbara Sher;2
Becky Chambers;2
Bertrand R. Brinley;2
Bohumil Hrabal;2
Brandon Sanderson;2
Bret Easton Ellis;2
Brian Aldiss;2
Brigitte Reimann;2
Bruce Chatwin;2
Bruce Sterling;2
Bruno Schulz;2
C.W. Ceram;2
Carl Sandburg;2
Carlos Castaneda;2
Carmen Rohrbach;2
Charles M. Schulz;2
Charles Stross;2
Charlotte Brontë;2
Charlotte Roche;2
Christa Wolf;2
Christian Morgenstern;2
Christian Stöcker;2
Christiane F;2
Christiane F.;2
Christoph Ransmayr;2
Christopher Alexander;2
Christopher Hitchens;2
Chuck Palahniuk;2
Cili Wethekam;2
Cliff Stoll;2
Clifford Geertz;2
Colin Fletcher;2
Cormac McCarthy;2
Cornelia Funke;2
Cory Doctorow;2
Dan Romanchik;2
Daniel Defoe;2
Daniel Kehlmann;2
Dante;2
Daphne du Maurier;2
Dava Sobel;2
Dave Thomas;2
David Graeber & David Wengrow;2
David Macaulay;2
Denis Diderot;2
Desmond Morris;2
Diana Gabaldon;2
Diana Wynne Jones;2
Dick Boer;2
Diercke;2
Dodie Smith;2
Don DeLillo;2
Don Rosa;2
Donald A. Norman;2
Donald J. Sobol;2
Donna W. Cross;2
Dorothy Dunnett;2
Dorothy L. Sayers;2
DOUGLAS ADAMS;2
Dylan Thomas;2
E. M. Forster;2
E. Nesbit;2
E.E. Cummings;2
E.F. Schumacher;2
Edward Gorey;2
Edward Packard;2
Elie Wiesel;2
Emma Goldman;2
Eric S. Raymond;2
Eric-Emmanuel Schmitt;2
Eugen Kogon;2
Evelyn Waugh;2
F. Paul Wilson;2
F. Scott Fitzgerald;2
Farley Mowat;2
Fjodor Dostojewski;2
Fjodor Dostojewskij;2
Frank Miller;2
Frank Schätzing;2
Frantz Fanon;2
Franz Fühmann;2
Franz Hohler;2
Franz Werfel;2
Frederick P. Brooks;2
Frederik Pohl;2
G. Holtz-Baumert;2
Gabriel Garcia Marquez;2
Garth Nix;2
Georg Heym;2
Georg Klein;2
George Eliot;2
George R. R. Martin;2
George R.R. Martin;2
Georges Perec;2
Gerald Durrell;2
Gerd Brantenberg;2
Gert Prokop;2
Giulia Enders;2
Goscinny;2
Graham Greene;2
Gregory Bateson;2
Gregory Bateson and Mary Catherine Bateson;2
Grimmelshausen;2
Gunnel Linde;2
Günter Bruno Fuchs;2
Günter Hugo Magnus;2
H. G. Wells;2
Hannah Arendt;2
Hannah Green;2
Hans Dominik;2
Hans Jürgen Press;2
Hape Kerkeling;2
Harry Harrison;2
Harry Mulisch;2
Heinz Erhardt;2
Henning Mankell;2
Herge;2
Hergé;2
Hoimar v. Ditfurth;2
Homer;2
Hunter S. Thompson;2
Ian McEwan;2
Ibram X. Kendi;2
Irvin D. Yalom;2
j.d. salinger;2
J.G. Ballard;2
Jack Vance;2
James Baldwin;2
Jason Fried & David Heinemeier Hansson;2
Jean Craighead George;2
Jean-Paul Sartre;2
Jill Ker Conway;2
Joanne K. Rowling;2
Joe Kaufman;2
Joe Sacco;2
Johannes Mario Simmel;2
John Boyne;2
John Christopher;2
John Crowley;2
John Gardner;2
John Hersey;2
John Wyndham;2
José Saramago;2
Joseph Campbell;2
Judith Butler;2
Judy Blume;2
Julia Cameron;2
Julie Sahni;2
Jung Chang;2
Jurek Becker;2
Karen Duve;2
Katie Hafner;2
Katsuhiro Otomo;2
Keith Johnstone;2
Ken Follett;2
Khalil Gibran;2
Knut Hamsun;2
Konrad Lorenz;2
Kübra Gümüşay;2
Kurt Krömer;2
Langenscheidt;2
Laurie Penny;2
Lawrence Durrell;2
Leon Uris;2
Licia Troisi;2
Linder Biologie;2
Lisa Tetzner;2
Lloyd Alexander;2
Louis-Ferdinand Céline;2
Luke Rhinehart;2
Madeleine L'Engle;2
Maja Göpel;2
Marcella Hazan;2
Margarete Stokowski;2
Marguerite Duras;2
Mariana Leky;2
Mario Vargas Llosa;2
MARKUS ZUSAK;2
Marlen Haushofer;2
Max Kruse;2
Max von der Grün;2
Maxie Wander;2
Michael Chabon;2
Michael Hardt;2
Michael Holzach;2
Michael Moorcock;2
Michael Pollan;2
Michel Houellebecq;2
Monica Hughes;2
Morton Rhue;2
Munro Leaf;2
N.K. Jemisin;2
Nicholas Monsarrat;2
Nicola Griffith;2
Noah Sow;2
Noel Streatfeild;2
Nora Roberts;2
Norman Mailer;2
Ota Pavel;2
Patrick Süskind;2
Paul Auster;2
Paulo Freire;2
Perry Rhodan;2
Peter O'Donnell;2
Philippe Fix;2
Plato;2
Platon;2
Principia Discordia;2
Rafik Schami;2
Rainer Maria Rilke;2
Randall Munroe;2
Raymond Williams;2
Rebecca Solnit;2
Richard Ballantine;2
Richard Brautigan;2
Richard Ford;2
Richard M. Stallman;2
Robert Anton Wilson;2
Robert Asprin;2
Robert E. Howard;2
Robert Graves;2
Robert Harris;2
Robert Heinlein;2
Robert Macfarlane;2
Robert Merle;2
Robert Musil;2
rocko schamoni;2
Roland Barthes;2
Rolf Dobelli;2
